params,mean_test_score,rank_test_score,classifier,hyperparam_combination
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 1, 'classifier__penalty': 'l1'}",0.24038239538239536,4,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l1'"
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.23866450216450213,5,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l2'"
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 1, 'classifier__penalty': 'l2'}",0.22652380952380952,10,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l2'"
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 10, 'classifier__penalty': 'l1'}",0.22406926406926403,12,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l1'"
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 10, 'classifier__penalty': 'l2'}",0.21688888888888885,18,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l2'"
"{'classifier': LogisticRegression(max_iter=500, multi_class='ovr', solver='saga'), 'classifier__C': 0.1, 'classifier__penalty': 'l1'}",0.007571279295417227,29,LogisticRegression,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l1'"
