Show.Name,Show.Theatre
Hair,1
Hair '11,1
Hairspray,1
Hamilton,1
Hamlet '09,1
Hamlet 95,1
Hand To God,1
Hands On A Hardbody,1
"Harry Connick, Jr. '10",1
Harvey,1
Having Our Say,1
Heartbreak House,1
Hedda Gabler 01,1
Hedda Gabler 09,1
Hedwig And The Angry Inch,1
"Hello, Dolly!",1
Henry Iv,1
High,1
High Fidelity,1
High Society,1
Holiday,1
Holler If Ya Hear Me,1
Hollywood Arms,1
Honeymoon In Vegas,1
Honour,1
Hot Feet,1
How To Succeed In Business Without Really Trying,1
How To Succeed In Business Without Really Trying '11,1
"Hugh Jackman, Back On Broadway",1
Hughie,1
Hughie 2016,1
I Am My Own Wife,1
I'Ll Eat You Last: A Chat With Sue Mengers,1
I'M Not Rappaport '02,1
I'M Still Here...Damn It!,1
If You Ever Leave Me…I'M Going With You,1
If/Then,1
Il Divo - A Musical Affair,1
Imaginary Friends,1
Impressionism,1
In My Life,1
In The Heights,1
In The Next Room Or The Vibrator Play,1
Indiscretions,1
Inherit The Wind 07,1
Into The Woods '02,1
Irena'S Vow,1
Irving Berlin'S White Christmas,1
Irving Berlin'S White Christmas '09,1
Is He Dead?,1
It Ain'T Nothin' But The Blues,2
It Shoulda Been You,1
It'S A Slippery Slope,1
It'S Only A Play,2
Ivanov,1
Jackie Mason'S Laughing Room Only,1
Jackie Mason:  Freshly Squeezed,1
Jackie Mason:  Politically Incorrect,1
Jackie Mason: Much Ado About Everything,1
Jackie: An American Life,1
James Joyce'S The Dead,1
Jane Eyre,1
Jay Johnson: The Two And Only,1
Jekyll & Hyde,1
Jekyll & Hyde '13,1
Jerry Seinfeld,1
Jersey Boys,2
Jerusalem,1
Jesus Christ Superstar,1
Jesus Christ Superstar '12,1
Joe Turner'S Come And Gone '09,1
Journey'S End,1
Juan Darien,1
Judgment At Nuremberg,1
Julius Caesar,1
Jumpers,1
Kat And The Kings,1
Kathy Griffin Wants A Tony,1
Kiki & Herb: Alive On Broadway,1
King Charles Iii,1
King David,1
King Hedley Ii,1
King Lear,1
Kinky Boots,1
"Kiss Me, Kate",1
Kiss Of The Spider Woman,1
La Bete '10,1
La Bohème,1
La Cage Aux Folles '04,1
La Cage Aux Folles '10,1
Lady Day At Emerson'S Bar & Grill,1
Latinologues,1
Laugh Whore,1
Leap Of Faith,1
Legally Blonde,1
Lend Me A Tenor '10,1
Lennon,1
Les Liaisons Dangereuses 08,1
Les Miserables,1
Les Miserables '14,1
Les Miserables 2006,1
Lestat,1
Let It Be,1
Life X 3,1
Little Me,1
Little Shop Of Horrors,1
Little Women,1
Living On Love,1
Liza'S At The Palace,1
Lombardi,1
London Assurance,1
Long Day'S Journey Into Night 03,1
Long Day'S Journey Into Night 2016,1
Looped,1
Lord Of The Dance: Dangerous Games,1
Losing Louie,1
Love / Life,1
Love Letters 2014,1
Love Thy Neighbor,1
Love! Valour! Compassion!,1
Lovemusik,1
