"SUPPORT_FUNCTION_SK","SUPPORT_FUNC_NAME","RESOLVER_LEVEL"
"569,316,317",Update/Modify,2
"569,277,615",SSRS - Connection Error,2
"216,411,657",Outage,3
"572,625,581",EKG,2
"215,063,808",Unlock Account,1
"569,265,189",Not working /Not Starting,2
"615,635,761",Access issues,1
"215,100,492",Error Message,3
"569,301,234",Outlook - Spam,2
"572,625,973",Break Fix,2
"569,361,586",Application Freezing / Not responding,2
"569,477,689",Other - How To Access,2
"569,470,467",Access to Resources - Update/Modify Access,2
"569,432,001",WiFi - How To Access,2
"571,433,209",Add/Change/Remove,2
"600,449,612",Monitors - Return equipment,1
"569,354,703",Laptops - Repair,2
"569,480,995",VDI - Connection Error,1
"569,300,916",Mobile Phone - Hardware Request,3
"569,292,253",Laptops - Hardware Request,2
"569,265,588",Share Drive Access Troubleshooting,1
"572,641,293",Office365,2
"638,400,490",Intune - Access Issues,1
"215,070,508",How to,1
"572,625,848",Error Message,2
"569,478,201",SAP - General Inquiries / General Troubleshooting,2
"571,456,193",Add/Change/Remove,2
"576,064,207",Request New,2
"571,423,726",Configuration,2
"215,117,249",Configuration,3
"569,454,137",VDI - Error Message,1
"569,262,992",O365 - Application Freezing / Not responding,2
"569,319,384",Genesys - Access Issues,3
"569,308,126",Connectivity Issues,1
"572,633,559",Break Fix,2
"569,419,938",Error Message,2
"572,479,185",PMPT - Telemed,2
"569,361,987",Desktops - Not working /Not Starting,2
"569,473,285",VCC - Password Reset / Unlock Account,1
"569,396,495",Email - New Access,2
"572,494,634",VPN,2
"569,280,921",Password Reset / Unlock Account,1
"561,214,205",How to,3
"569,331,454",Laptops - Not working /Not Starting,2
"572,486,968",Break Fix,2
"569,296,216",General Inquiries / General Troubleshooting,1
"576,125,164",MAXagent How to,2
"569,334,858",Adobe Suite - Repair,1
"215,177,228",Error Message,3
"569,377,217",Repair,2
"638,282,532",Websites - 3rd party - Down,1
"569,416,730",Configuration,2
"414,111,943",Distribution List (New/Change/Delete),3
"569,288,150",Application Freezing / Not responding,2
"569,242,592",Password Reset / Unlock Account,1
"569,334,377",Update/Modify,2
"569,370,289",Access to Resources - Configuration,2
