INC_STATE_SK,CATEGORY_SK,INCIDENT_NUMBER,COMPANY_SK,SUBCATEGORY_SK,OPENED_BY_SK,RESOLVE_BY_SK,RESOLVED_BY_GROUP_SK,SUPPORT_FUNCTION_SK,CONTACT_TYPE_SK,PRIORITY_SK,MAJOR_INCIDENT,RESOLVED_FIRST_CONTACT,REASSIGNMENT_COUNT,SUPPORTABLE,ESCALATION,SYSTEM_MOD_COUNT,UPON_APPROVAL,UPON_REJECT,RESOLVED_AT_DTTM,CLOSED_AT_DTTM,INC_URGENCY_SK,INC_IMPACT_SK,INC_ESCALATION_SK,REWORK_COUNT,IMPACT,CREATED_DTTM,Year,Month
6,24,INC50148954,"266,226,194",121,"6,313,447,475","6,313,447,475","103,974,889","569,276,714",6,3,0,1,0,1,0,11,proceed,cancel,2024-11-04 16:02:39.000,2024-11-08 07:22:56.000,3,3,1,0,2,2024-11-04 15:40:54,2024,11
8,24,INC50184727,"266,226,194",121,"7,002,289,134","7,002,289,134","103,974,889","615,495,922",6,3,0,1,0,1,0,4,proceed,cancel,2024-11-08 19:58:49.000,,3,3,1,0,2,2024-11-08 19:41:36,2024,11
8,24,INC50180615,"266,226,194",121,"6,313,447,475","7,002,289,134","103,974,889","569,295,949",6,3,0,1,2,0,0,17,proceed,cancel,2024-11-08 13:29:55.000,,3,3,1,0,2,2024-11-08 12:27:44,2024,11
2,24,INC50186665,"166,126,616",121,"6,343,571,534","-99,999","-99,999","575,972,787",6,3,0,0,1,0,0,2,proceed,cancel,,,3,3,1,0,2,2024-11-09 03:54:16,2024,11
8,31,INC50181934,"266,226,194",16,"6,313,447,475","6,867,816,743","103,830,082","569,273,157",4,3,0,1,1,0,0,10,proceed,cancel,2024-11-08 20:04:49.000,,3,3,1,0,2,2024-11-08 14:59:08,2024,11
8,24,INC50183674,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","569,254,229",6,3,0,1,0,1,0,3,proceed,cancel,2024-11-08 17:45:26.000,,3,3,1,0,2,2024-11-08 17:39:48,2024,11
8,25,INC50181382,"266,226,194",63,"3,790,156,078","5,793,903,899","103,974,889","626,218,840",10,3,0,1,0,1,0,5,proceed,cancel,2024-11-08 14:35:03.000,,3,3,1,0,2,2024-11-08 14:10:41,2024,11
8,24,INC50158273,"166,126,616",121,"6,942,513,593","5,802,727,114","52,728,393","575,972,787",10,3,0,0,1,0,0,8,proceed,cancel,2024-11-09 02:06:31.000,,3,3,1,0,2,2024-11-05 16:42:03,2024,11
8,24,INC50157259,"166,126,616",121,"6,989,009,654","5,796,265,319","52,728,393","636,809,565",10,5,0,0,1,0,0,7,proceed,cancel,2024-11-05 22:58:47.000,,3,3,1,0,2,2024-11-05 15:24:38,2024,11
8,24,INC50159056,"266,226,194",121,"6,817,329,706","6,817,329,706","103,830,082","569,285,183",7,3,0,0,1,1,0,6,proceed,cancel,2024-11-05 17:46:41.000,,3,3,1,0,2,2024-11-05 17:44:16,2024,11
