INC_STATE_SK,CATEGORY_SK,INCIDENT_NUMBER,COMPANY_SK,SUBCATEGORY_SK,OPENED_BY_SK,RESOLVE_BY_SK,RESOLVED_BY_GROUP_SK,SUPPORT_FUNCTION_SK,CONTACT_TYPE_SK,PRIORITY_SK,MAJOR_INCIDENT,RESOLVED_FIRST_CONTACT,REASSIGNMENT_COUNT,SUPPORTABLE,ESCALATION,SYSTEM_MOD_COUNT,UPON_APPROVAL,UPON_REJECT,RESOLVED_AT_DTTM,CLOSED_AT_DTTM,INC_URGENCY_SK,INC_IMPACT_SK,INC_ESCALATION_SK,REWORK_COUNT,IMPACT,CREATED_DTTM,Year,Month
8,31,INC50156211,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,327,093",2,3,0,1,1,1,0,5,proceed,cancel,2024-11-05 13:59:17.000,,3,3,1,0,2,2024-11-05 13:58:38,2024,11
8,31,INC50155672,"166,126,616",122,"6,172,295,149","6,059,124,548","79,181,792","576,164,409",10,3,0,0,1,0,0,5,proceed,cancel,2024-11-06 22:07:52.000,,3,3,1,0,2,2024-11-05 12:56:54,2024,11
8,31,INC50158621,"166,126,616",16,"5,703,040,921","6,877,023,618","104,119,807","215,183,888",10,3,0,0,1,0,0,5,proceed,cancel,2024-11-08 21:52:59.000,,3,3,1,0,2,2024-11-05 17:11:25,2024,11
8,24,INC50155819,"166,126,616",121,"3,141,987,178","3,141,987,178","52,729,432","561,183,411",6,3,0,1,0,0,0,3,proceed,cancel,2024-11-05 13:48:09.000,,3,3,1,0,2,2024-11-05 13:15:29,2024,11
8,24,INC50155673,"266,226,194",121,"6,313,447,475","6,867,816,819","103,830,082","569,276,714",6,3,0,0,1,1,0,14,proceed,cancel,2024-11-05 17:34:26.000,,3,3,1,0,2,2024-11-05 12:57:06,2024,11
8,24,INC50159730,"266,226,194",121,"6,247,695,725","6,247,695,725","103,974,889","615,542,626",6,3,0,1,0,1,0,3,proceed,cancel,2024-11-05 19:09:06.000,,3,3,1,0,2,2024-11-05 18:53:16,2024,11
8,24,INC50157845,"266,226,194",121,"6,867,816,743","6,867,816,743","103,830,082","569,246,966",2,3,0,1,1,1,0,6,proceed,cancel,2024-11-05 16:17:00.000,,3,3,1,0,2,2024-11-05 16:15:39,2024,11
8,24,INC50156995,"266,226,194",121,"6,313,447,475","6,867,816,819","103,830,082","569,296,391",6,3,0,1,1,1,0,12,proceed,cancel,2024-11-05 18:02:59.000,,3,3,1,0,2,2024-11-05 15:01:34,2024,11
2,24,INC50156514,"166,126,616",121,"5,788,661,775","-99,999","-99,999","215,167,115",10,5,0,0,1,0,0,8,proceed,cancel,,,3,3,1,0,2,2024-11-05 14:21:35,2024,11
8,31,INC50157633,"166,126,616",122,"5,703,038,782","6,016,140,447","104,119,807","414,111,943",10,3,0,0,2,0,0,5,proceed,cancel,2024-11-07 15:28:25.000,,3,3,1,0,2,2024-11-05 15:57:07,2024,11
8,24,INC50160257,"266,226,194",121,"6,313,447,475","6,313,447,475","103,974,889","569,450,566",6,3,0,1,0,1,0,6,proceed,cancel,2024-11-05 19:44:18.000,,3,3,1,0,2,2024-11-05 19:31:40,2024,11
8,31,INC50160695,"266,226,194",52,"6,867,816,819","6,867,816,819","103,830,082","569,308,126",7,3,0,1,1,1,0,8,proceed,cancel,2024-11-07 13:13:29.000,,3,3,1,0,2,2024-11-05 20:13:51,2024,11
6,24,INC50160920,"266,226,194",121,"6,817,328,779","6,817,328,779","103,830,082","615,542,626",7,3,0,0,1,1,0,8,proceed,cancel,2024-11-05 20:41:49.000,2024-11-05 20:41:55.000,3,3,1,0,2,2024-11-05 20:40:34,2024,11
9,31,INC50161497,"166,126,616",52,"5,703,041,008","-99,999","-99,999","576,002,590",10,3,0,0,1,0,0,5,proceed,cancel,,,3,3,1,0,2,2024-11-05 21:54:29,2024,11
8,31,INC50158916,"266,226,194",122,"3,790,156,078","6,247,695,725","103,974,889","569,288,150",10,3,0,1,0,1,0,19,proceed,cancel,2024-11-07 21:14:33.000,,3,3,1,0,2,2024-11-05 17:36:40,2024,11
8,31,INC50161513,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,327,093",2,3,0,1,1,1,0,4,proceed,cancel,2024-11-05 21:57:42.000,,3,3,1,0,2,2024-11-05 21:57:03,2024,11
8,31,INC50160484,"166,126,616",122,"7,000,177,231","5,703,040,455","52,728,392","215,157,250",10,3,0,0,1,1,0,5,proceed,cancel,2024-11-05 20:44:19.000,,3,3,1,0,2,2024-11-05 19:52:30,2024,11
8,24,INC50157045,"166,126,616",121,"6,816,701,351","6,816,701,351","52,729,432","215,063,806",6,3,0,1,0,0,0,2,proceed,cancel,2024-11-05 15:09:03.000,,3,3,1,0,2,2024-11-05 15:06:09,2024,11
8,24,INC50158144,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","569,288,150",6,3,0,0,0,1,0,4,proceed,cancel,2024-11-06 11:59:43.000,,3,3,1,0,2,2024-11-05 16:33:34,2024,11
8,31,INC50166028,"266,226,194",49,"6,867,816,819","6,867,816,819","103,830,082","569,354,337",7,3,0,1,1,1,0,5,proceed,cancel,2024-11-07 15:20:25.000,,3,3,1,0,2,2024-11-06 14:32:51,2024,11
6,31,INC50168650,"266,226,194",122,"6,817,330,813","6,817,330,813","103,974,889","-99,999",4,3,0,0,0,0,0,2,proceed,cancel,2024-11-06 18:24:33.000,2024-11-06 18:24:33.000,3,3,1,0,2,2024-11-06 18:20:47,2024,11
8,24,INC50165357,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","600,433,692",6,3,0,1,0,0,0,3,proceed,cancel,2024-11-06 13:41:06.000,,3,3,1,0,2,2024-11-06 13:27:29,2024,11
8,24,INC50171141,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","615,542,626",6,3,0,1,0,1,0,3,proceed,cancel,2024-11-07 02:16:09.000,,3,3,1,0,2,2024-11-07 00:52:54,2024,11
2,24,INC50166852,"166,126,616",121,"5,703,040,230","-99,999","-99,999","572,633,435",10,3,0,0,1,1,0,5,proceed,cancel,,,3,3,1,0,2,2024-11-06 15:41:29,2024,11
4,31,INC50170768,"166,126,616",122,"6,165,023,930","-99,999","-99,999","-99,999",10,3,0,0,1,0,0,5,proceed,cancel,,,3,3,1,0,2,2024-11-06 22:56:35,2024,11
8,24,INC50158156,"266,226,194",51,"6,313,447,475","6,313,447,475","103,974,889","569,480,995",6,3,0,1,0,1,0,21,proceed,cancel,2024-11-07 15:32:21.000,,3,3,1,0,2,2024-11-05 16:34:17,2024,11
8,31,INC50158707,"266,226,194",122,"6,867,816,819","6,867,816,819","103,830,082","569,354,765",7,3,0,1,1,0,0,5,proceed,cancel,2024-11-06 19:10:33.000,,3,3,1,0,2,2024-11-05 17:19:08,2024,11
8,24,INC50158978,"266,226,194",51,"6,817,329,706","6,817,329,706","103,830,082","569,316,741",7,3,0,0,1,1,0,5,proceed,cancel,2024-11-05 17:41:11.000,,3,3,1,0,2,2024-11-05 17:40:04,2024,11
8,24,INC50158567,"166,126,616",121,"4,536,264,761","4,536,264,761","52,729,432","571,456,192",6,3,0,1,0,0,0,2,proceed,cancel,2024-11-05 17:23:03.000,,3,3,1,0,2,2024-11-05 17:06:52,2024,11
8,31,INC50161684,"166,126,616",52,"6,942,094,096","6,770,881,793","52,728,392","572,618,155",10,3,0,0,1,1,0,7,proceed,cancel,2024-11-08 16:46:09.000,,3,3,1,0,2,2024-11-05 22:28:13,2024,11
8,31,INC50159081,"166,126,616",16,"6,493,980,232","6,770,881,793","52,728,392","571,419,514",6,3,0,0,1,0,0,11,proceed,cancel,2024-11-05 18:41:53.000,,3,3,1,0,2,2024-11-05 17:45:56,2024,11
8,31,INC50159066,"266,226,194",122,"6,867,816,819","6,867,816,819","103,830,082","569,354,765",7,3,0,1,1,0,0,5,proceed,cancel,2024-11-06 19:10:57.000,,3,3,1,0,2,2024-11-05 17:44:43,2024,11
2,31,INC50159570,"166,126,616",122,"5,703,037,892","-99,999","-99,999","414,111,943",10,3,0,0,2,0,0,6,proceed,cancel,,,3,3,1,0,2,2024-11-05 18:37:04,2024,11
8,31,INC50155514,"166,126,616",122,"5,936,352,761","6,877,023,618","104,119,807","414,111,943",10,3,0,0,2,0,0,6,proceed,cancel,2024-11-06 21:55:53.000,,3,3,1,0,2,2024-11-05 12:31:58,2024,11
8,31,INC50157100,"266,226,194",122,"6,867,816,819","6,867,816,819","103,830,082","569,354,765",7,3,0,1,1,0,0,5,proceed,cancel,2024-11-06 19:10:14.000,,3,3,1,0,2,2024-11-05 15:10:17,2024,11
8,24,INC50159437,"166,126,616",121,"3,141,987,178","3,141,987,178","52,729,432","561,183,411",6,3,0,1,0,0,0,3,proceed,cancel,2024-11-05 18:28:59.000,,3,3,1,0,2,2024-11-05 18:24:17,2024,11
8,24,INC50161098,"166,126,616",121,"3,141,987,178","5,796,265,319","52,728,393","571,419,514",2,3,0,0,1,0,0,9,proceed,cancel,2024-11-05 22:59:36.000,,2,3,1,0,2,2024-11-05 20:57:25,2024,11
8,24,INC50158504,"266,226,194",121,"6,247,695,725","6,867,816,743","103,830,082","569,285,183",6,3,0,1,1,1,0,13,proceed,cancel,2024-11-05 19:01:38.000,,3,3,1,0,2,2024-11-05 17:00:28,2024,11
8,31,INC50159614,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,327,093",2,3,0,1,1,1,0,4,proceed,cancel,2024-11-05 18:42:52.000,,3,3,1,0,2,2024-11-05 18:42:18,2024,11
8,24,INC50160586,"266,226,194",51,"6,247,695,725","6,867,816,819","103,830,082","569,411,669",6,3,0,1,1,1,0,22,proceed,cancel,2024-11-08 15:27:29.000,,3,3,1,0,2,2024-11-05 20:02:17,2024,11
8,31,INC50161854,"166,126,616",122,"6,942,513,665","5,796,265,319","52,728,393","575,972,787",10,3,0,0,1,0,0,6,proceed,cancel,2024-11-06 01:43:50.000,,3,3,1,0,2,2024-11-05 22:57:02,2024,11
8,31,INC50159583,"166,126,616",122,"6,353,770,205","6,059,124,548","79,181,792","576,164,409",10,3,0,0,1,0,0,5,proceed,cancel,2024-11-06 22:25:45.000,,3,3,1,0,2,2024-11-05 18:38:33,2024,11
8,24,INC50161017,"266,226,194",51,"6,905,353,538","6,905,353,538","103,974,889","569,324,130",6,3,0,1,0,1,0,7,proceed,cancel,2024-11-05 21:01:13.000,,3,3,1,0,2,2024-11-05 20:49:24,2024,11
3,31,INC50170554,"166,126,616",52,"6,942,094,103","-99,999","-99,999","592,882,629",10,3,0,0,1,0,0,6,proceed,cancel,,,3,3,1,0,2,2024-11-06 22:13:02,2024,11
8,31,INC50168978,"266,226,194",122,"6,867,816,819","6,867,816,819","103,830,082","569,354,765",7,3,0,1,1,0,0,6,proceed,cancel,2024-11-07 18:21:55.000,,3,3,1,0,2,2024-11-06 18:55:47,2024,11
6,24,INC50146508,"266,226,194",121,"6,737,115,314","6,737,115,314","103,974,889","615,495,922",6,3,0,1,0,1,0,9,proceed,cancel,2024-11-04 12:13:55.000,2024-11-08 07:22:50.000,3,3,1,0,2,2024-11-04 12:06:00,2024,11
8,24,INC50146832,"266,226,194",121,"6,313,447,475","6,975,303,858","103,830,082","569,435,129",6,3,0,1,1,1,0,12,proceed,cancel,2024-11-07 16:07:01.000,,3,3,1,0,2,2024-11-04 13:00:08,2024,11
6,31,INC50150397,"266,226,194",122,"3,790,156,078","6,247,695,725","103,974,889","569,288,150",10,3,0,1,0,1,0,8,proceed,cancel,2024-11-04 20:43:07.000,2024-11-08 07:22:58.000,3,3,1,0,2,2024-11-04 17:36:18,2024,11
6,24,INC50154270,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","615,542,626",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-05 04:38:40.000,2024-11-08 07:23:07.000,3,3,1,0,2,2024-11-05 02:30:41,2024,11
6,24,INC50149302,"266,226,194",121,"6,247,695,725","6,867,816,819","103,830,082","569,309,093",6,3,0,1,1,1,0,16,proceed,cancel,2024-11-04 20:07:45.000,2024-11-08 07:22:56.000,3,3,1,0,2,2024-11-04 16:07:59,2024,11
6,31,INC50151196,"266,226,194",52,"6,867,816,819","6,867,816,819","103,830,082","569,339,535",7,3,0,1,1,1,0,9,proceed,cancel,2024-11-04 20:30:38.000,2024-11-08 07:23:02.000,3,3,1,0,2,2024-11-04 18:46:08,2024,11
8,24,INC50149578,"266,226,194",121,"3,790,156,078","6,313,447,475","103,974,889","600,433,692",10,3,0,1,0,0,0,10,proceed,cancel,2024-11-05 11:48:41.000,,3,3,1,0,2,2024-11-04 16:26:45,2024,11
8,24,INC50167284,"266,226,194",121,"6,817,329,706","6,817,329,706","103,830,082","569,296,216",2,3,0,0,1,1,0,10,proceed,cancel,2024-11-08 17:23:54.000,,3,3,1,0,2,2024-11-06 16:18:40,2024,11
6,31,INC50150674,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,327,093",10,3,0,1,1,1,0,8,proceed,cancel,2024-11-04 18:03:54.000,2024-11-08 07:23:00.000,3,3,1,0,2,2024-11-04 18:03:21,2024,11
6,25,INC50153148,"266,226,194",63,"5,802,967,307","5,802,967,307","103,974,889","569,311,731",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-04 21:54:49.000,2024-11-08 07:23:05.000,3,3,1,0,2,2024-11-04 21:41:54,2024,11
8,24,INC50171166,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","569,469,943",6,3,0,1,0,1,0,3,proceed,cancel,2024-11-07 02:45:22.000,,3,3,1,0,2,2024-11-07 01:05:59,2024,11
4,31,INC50169705,"266,226,194",122,"3,790,156,078","-99,999","-99,999","569,272,812",4,3,0,0,1,1,0,28,proceed,cancel,,,3,3,1,1,2,2024-11-06 20:13:01,2024,11
4,24,INC50166769,"166,126,616",121,"5,703,040,230","-99,999","-99,999","572,563,904",10,3,0,0,0,0,0,7,proceed,cancel,,,3,3,1,0,2,2024-11-06 15:33:58,2024,11
8,24,INC50170925,"266,226,194",121,"3,790,156,078","5,802,967,307","103,974,889","569,309,097",10,3,0,1,2,0,0,11,proceed,cancel,2024-11-08 22:44:18.000,,3,3,1,0,2,2024-11-06 23:40:45,2024,11
6,24,INC50151606,"266,226,194",121,"6,817,329,706","6,817,329,706","103,830,082","569,350,282",7,3,0,0,1,1,0,9,proceed,cancel,2024-11-04 19:22:55.000,2024-11-08 07:23:03.000,3,3,1,0,2,2024-11-04 19:21:45,2024,11
6,25,INC50152115,"266,226,194",63,"3,790,156,078","5,793,903,899","103,974,889","626,218,840",10,3,0,1,0,1,0,7,proceed,cancel,2024-11-04 20:10:23.000,2024-11-08 07:23:04.000,3,3,1,0,2,2024-11-04 20:02:44,2024,11
6,25,INC50145964,"266,226,194",63,"3,790,156,078","5,793,903,899","103,974,889","569,311,731",10,3,0,1,0,1,0,8,proceed,cancel,2024-11-04 12:04:10.000,2024-11-08 07:22:49.000,3,3,1,0,2,2024-11-04 06:58:28,2024,11
6,24,INC50151037,"266,226,194",121,"6,264,845,105","6,975,303,858","103,830,082","569,300,917",6,3,0,1,1,1,0,13,proceed,cancel,2024-11-04 19:45:07.000,2024-11-08 07:23:01.000,3,3,1,0,2,2024-11-04 18:32:46,2024,11
8,31,INC50151297,"166,126,616",122,"6,942,513,613","5,796,265,319","52,728,393","575,972,787",10,3,0,0,1,0,0,9,proceed,cancel,2024-11-07 17:42:10.000,,3,3,1,0,2,2024-11-04 18:55:58,2024,11
6,24,INC50153208,"266,226,194",121,"6,905,353,538","6,905,353,538","103,974,889","615,495,922",6,3,0,1,0,1,0,8,proceed,cancel,2024-11-04 22:09:44.000,2024-11-08 07:23:06.000,3,3,1,0,2,2024-11-04 21:51:34,2024,11
6,24,INC50146457,"266,226,194",121,"6,737,115,314","6,737,115,314","103,974,889","615,635,761",6,3,0,1,0,1,0,8,proceed,cancel,2024-11-04 11:51:05.000,2024-11-08 07:22:49.000,3,3,1,1,2,2024-11-04 11:46:24,2024,11
6,24,INC50154371,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","627,899,114",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-05 04:36:14.000,2024-11-08 07:23:07.000,3,3,1,0,2,2024-11-05 03:43:02,2024,11
8,24,INC50153976,"166,126,616",121,"5,759,423,830","5,759,423,830","52,729,432","215,070,509",6,3,0,1,0,1,0,2,proceed,cancel,2024-11-05 00:42:16.000,,3,3,1,0,2,2024-11-05 00:30:26,2024,11
8,24,INC50149058,"266,226,194",121,"3,790,156,078","6,817,329,706","103,830,082","640,494,710",10,3,0,0,1,1,0,26,proceed,cancel,2024-11-06 15:58:18.000,,3,3,1,0,2,2024-11-04 15:48:54,2024,11
6,24,INC50146648,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","615,682,432",6,3,0,1,0,1,0,7,proceed,cancel,2024-11-04 12:42:12.000,2024-11-08 07:22:51.000,3,3,1,0,2,2024-11-04 12:34:29,2024,11
6,31,INC50148570,"266,226,194",52,"6,867,816,819","6,867,816,819","103,830,082","569,411,670",7,3,0,1,1,1,0,9,proceed,cancel,2024-11-04 18:11:06.000,2024-11-08 07:22:54.000,3,3,1,0,2,2024-11-04 15:14:39,2024,11
6,24,INC50153376,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","569,381,233",6,3,0,1,0,1,0,6,proceed,cancel,2024-11-04 23:13:28.000,2024-11-08 07:23:06.000,3,3,1,0,2,2024-11-04 22:17:25,2024,11
6,31,INC50147550,"266,226,194",122,"6,867,816,819","6,867,816,819","103,830,082","615,581,948",7,3,0,1,1,1,0,9,proceed,cancel,2024-11-04 16:58:46.000,2024-11-08 07:22:53.000,3,3,1,0,2,2024-11-04 14:01:20,2024,11
6,31,INC50150659,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,327,093",10,3,0,1,1,1,0,7,proceed,cancel,2024-11-04 18:02:47.000,2024-11-08 07:22:59.000,3,3,1,0,2,2024-11-04 18:02:11,2024,11
6,31,INC50150583,"266,226,194",52,"6,867,816,819","6,867,816,819","103,830,082","569,354,765",7,3,0,1,1,0,0,8,proceed,cancel,2024-11-04 20:09:02.000,2024-11-08 07:22:58.000,3,3,1,0,2,2024-11-04 17:54:32,2024,11
6,24,INC50146490,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","615,495,922",6,3,0,1,0,1,0,7,proceed,cancel,2024-11-04 12:05:45.000,2024-11-08 07:22:50.000,3,3,1,0,2,2024-11-04 11:59:49,2024,11
6,24,INC50147950,"266,226,194",121,"6,313,447,475","6,867,816,819","103,830,082","569,316,741",6,3,0,1,1,1,0,19,proceed,cancel,2024-11-04 20:07:24.000,2024-11-08 07:22:54.000,3,3,1,0,2,2024-11-04 14:26:22,2024,11
2,31,INC50154206,"166,126,616",122,"7,003,662,039","-99,999","-99,999","215,097,312",10,3,0,0,2,0,0,4,proceed,cancel,,,3,3,1,0,2,2024-11-05 01:50:57,2024,11
6,24,INC50149912,"266,226,194",51,"6,817,329,706","6,817,329,706","103,830,082","569,370,315",7,3,0,0,1,1,0,7,proceed,cancel,2024-11-04 16:54:18.000,2024-11-08 07:22:57.000,3,3,1,0,2,2024-11-04 16:53:11,2024,11
8,24,INC50150004,"166,126,616",121,"6,942,513,625","5,802,727,114","52,728,393","215,117,249",10,3,0,0,1,0,0,7,proceed,cancel,2024-11-09 02:02:03.000,,3,3,1,0,2,2024-11-04 17:02:09,2024,11
6,24,INC50151322,"266,226,194",121,"6,313,447,475","6,313,447,475","103,974,889","569,276,714",6,3,0,1,0,1,0,14,proceed,cancel,2024-11-04 19:06:35.000,2024-11-08 07:23:03.000,3,3,1,0,2,2024-11-04 18:58:27,2024,11
6,24,INC50153142,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","615,542,626",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-04 21:53:59.000,2024-11-08 07:23:05.000,3,3,1,0,2,2024-11-04 21:40:44,2024,11
8,31,INC50150845,"266,226,194",122,"3,790,156,078","6,247,695,725","103,974,889","615,542,626",10,3,0,1,0,1,0,15,proceed,cancel,2024-11-06 20:59:28.000,,3,3,1,0,2,2024-11-04 18:16:37,2024,11
8,24,INC50151727,"166,126,616",121,"5,703,039,254","5,796,265,319","52,728,393","575,972,787",10,3,0,0,1,0,0,9,proceed,cancel,2024-11-07 17:44:00.000,,3,3,1,0,2,2024-11-04 19:29:00,2024,11
6,24,INC50146628,"266,226,194",121,"6,304,994,586","6,304,994,586","103,974,889","569,280,921",6,3,0,1,0,1,0,6,proceed,cancel,2024-11-04 12:35:27.000,2024-11-08 07:22:51.000,3,3,1,0,2,2024-11-04 12:31:31,2024,11
8,24,INC50146665,"266,226,194",51,"6,313,447,475","6,867,816,819","103,830,082","569,370,760",6,3,0,0,1,1,0,13,proceed,cancel,2024-11-05 18:15:27.000,,3,3,1,0,2,2024-11-04 12:36:29,2024,11
6,31,INC50151729,"266,226,194",52,"6,867,816,819","6,867,816,819","103,830,082","569,485,512",7,3,0,1,1,1,0,8,proceed,cancel,2024-11-04 20:29:27.000,2024-11-08 07:23:04.000,3,3,1,0,2,2024-11-04 19:29:15,2024,11
6,24,INC50147437,"266,226,194",121,"6,247,695,725","6,247,695,725","103,974,889","615,682,432",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-04 13:56:00.000,2024-11-08 07:22:52.000,3,3,1,0,2,2024-11-04 13:52:45,2024,11
8,24,INC50147438,"266,226,194",121,"6,264,845,105","6,975,303,858","103,830,082","627,868,157",6,3,0,1,1,1,0,11,proceed,cancel,2024-11-07 16:06:36.000,,3,3,1,0,2,2024-11-04 13:52:49,2024,11
8,24,INC50153562,"166,126,616",121,"6,343,571,534","5,802,727,114","52,728,393","215,070,509",6,3,0,0,1,1,0,4,proceed,cancel,2024-11-09 02:08:16.000,,3,3,1,0,2,2024-11-04 22:48:33,2024,11
6,24,INC50149959,"266,226,194",121,"6,313,447,475","6,313,447,475","103,974,889","627,868,158",6,3,0,1,0,1,0,8,proceed,cancel,2024-11-04 17:21:51.000,2024-11-08 07:22:57.000,3,3,1,0,2,2024-11-04 16:58:23,2024,11
6,24,INC50151206,"266,226,194",121,"6,247,695,725","6,247,695,725","103,974,889","569,308,432",6,3,0,1,0,1,0,5,proceed,cancel,2024-11-04 20:34:11.000,2024-11-08 07:23:02.000,3,3,1,0,2,2024-11-04 18:47:03,2024,11
8,31,INC50159158,"266,226,194",16,"6,817,331,932","6,817,331,932","103,830,084","569,319,384",2,3,0,1,1,1,0,5,proceed,cancel,2024-11-05 17:57:01.000,,3,3,1,0,2,2024-11-05 17:56:26,2024,11
8,31,INC50156681,"266,226,194",49,"7,002,289,134","7,002,289,134","103,974,889","629,143,068",4,3,0,0,0,1,0,3,proceed,cancel,2024-11-05 14:34:08.000,,3,3,1,0,2,2024-11-05 14:32:59,2024,11
8,24,INC50159411,"166,126,616",121,"6,819,139,276","5,796,265,319","52,728,393","215,070,509",6,3,0,0,1,1,0,6,proceed,cancel,2024-11-05 19:00:16.000,,3,3,1,0,2,2024-11-05 18:22:13,2024,11
8,24,INC50155438,"266,226,194",121,"6,313,447,475","6,313,447,475","103,974,889","569,276,714",6,3,0,1,0,1,0,9,proceed,cancel,2024-11-05 12:29:33.000,,3,3,1,0,2,2024-11-05 12:17:17,2024,11
8,24,INC50160467,"266,226,194",121,"3,790,156,078","6,817,331,932","103,830,084","569,327,093",10,3,0,1,1,1,0,6,proceed,cancel,2024-11-06 13:03:59.000,,3,3,1,0,2,2024-11-05 19:51:07,2024,11
8,24,INC50161905,"266,226,194",121,"5,802,967,307","5,802,967,307","103,974,889","615,542,626",6,3,0,1,0,1,0,3,proceed,cancel,2024-11-05 23:22:46.000,,3,3,1,0,2,2024-11-05 23:07:38,2024,11
8,24,INC50159961,"266,226,194",51,"6,867,816,743","6,867,816,743","103,830,082","569,247,137",7,3,0,1,1,1,0,6,proceed,cancel,2024-11-05 19:06:33.000,,3,3,1,0,2,2024-11-05 19:06:02,2024,11
8,24,INC50160463,"266,226,194",121,"6,264,845,105","6,264,845,105","103,974,889","600,433,692",6,3,0,1,0,0,0,4,proceed,cancel,2024-11-06 12:01:30.000,,3,3,1,0,2,2024-11-05 19:50:36,2024,11
8,31,INC50155621,"166,126,616",16,"5,936,352,761","5,703,040,921","52,728,392","571,456,467",10,3,0,0,1,0,0,5,proceed,cancel,2024-11-05 17:08:45.000,,3,3,1,0,2,2024-11-05 12:48:03,2024,11
8,31,INC50170168,"166,126,616",16,"6,842,456,985","6,842,456,985","52,729,432","571,333,591",6,3,0,1,0,0,0,2,proceed,cancel,2024-11-06 21:18:37.000,,3,3,1,0,2,2024-11-06 21:17:37,2024,11
